product_id,product_name,product_description,sku,category_id,inventory_id,price,tax,rating,review_count,discount_id,created_at,modified_at
1,Tab M9 MediaTek Helio,LENOVO Tab M9 MediaTek Helio,TY-412697,1,INV-1,3572.0,642.9599999999999,4.7,1184,,2024-12-23 17:21:49,2024-12-23 17:21:49
2,IdeaPad3 Intel Core,LENOVO IdeaPad3 Intel Core,TY-068231,1,INV-2,9499.0,1709.82,3.7,11,DISC-2,2024-12-23 17:21:49,2024-12-23 17:21:49
3,iPad 9. Nesil 64 GB,Apple iPad 9. Nesil 64 GB,TY-209323,1,INV-3,10699.0,1925.82,4.8,2536,,2024-12-23 17:21:49,2024-12-23 17:21:49
4,Pad X9 4gb 128gb Wifi,Honor Pad X9 4gb 128gb Wifi,TY-894370,1,INV-4,4999.0,899.8199999999999,4.7,1043,,2024-12-23 17:21:49,2024-12-23 17:21:49
5,Pad 9 8GB 256GB Wifi,Honor Pad 9 8GB 256GB Wifi,TY-597527,1,INV-5,10799.0,1943.82,4.7,278,DISC-5,2024-12-23 17:21:49,2024-12-23 17:21:49
6,15-inch MacBook Air:,Apple 15-inch MacBook Air:,TY-061828,1,INV-6,38999.0,7019.82,4.8,74,DISC-6,2024-12-23 17:21:49,2024-12-23 17:21:49
7,Galaxy Tab A9 64 GB,Samsung Galaxy Tab A9 64 GB,TY-443857,1,INV-7,3990.0,718.1999999999999,4.6,1626,DISC-7,2024-12-23 17:21:49,2024-12-23 17:21:49
8,"Tab M11 8GB 128GB 11""","LENOVO Tab M11 8GB 128GB 11""",TY-889032,1,INV-8,7938.0,1428.84,4.6,28,,2024-12-23 17:21:49,2024-12-23 17:21:49
9,iPad 9. Nesil 64 GB,Apple iPad 9. Nesil 64 GB,TY-248472,1,INV-9,10899.0,1961.82,4.8,3749,,2024-12-23 17:21:49,2024-12-23 17:21:49
10,iPad 10. Nesil 64 GB,Apple iPad 10. Nesil 64 GB,TY-181177,1,INV-10,14499.0,2609.8199999999997,4.5,90,DISC-10,2024-12-23 17:21:49,2024-12-23 17:21:49
11,Macbook Air M2 16gb,Apple Macbook Air M2 16gb,TY-096275,1,INV-11,40399.0,7271.82,4.9,7,DISC-11,2024-12-23 17:21:49,2024-12-23 17:21:49
12,Galaxy Tab S9 Fe Wıfı,Samsung Galaxy Tab S9 Fe Wıfı,TY-799866,1,INV-12,13299.0,2393.8199999999997,4.4,60,,2024-12-23 17:21:49,2024-12-23 17:21:49
13,iPad 10. Nesil 64 GB,Apple iPad 10. Nesil 64 GB,TY-897253,1,INV-13,14999.0,2699.8199999999997,4.6,162,DISC-13,2024-12-23 17:21:49,2024-12-23 17:21:49
14,"Macbook Pro M3 14"" Uzay","Apple Macbook Pro M3 14"" Uzay",TY-856638,1,INV-14,54999.0,9899.82,4.9,20,,2024-12-23 17:21:49,2024-12-23 17:21:49
15,SXPro 10.1 Inc 4 GB,Vorcom SXPro 10.1 Inc 4 GB,TY-406748,1,INV-15,2965.0,533.6999999999999,4.3,1982,,2024-12-23 17:21:49,2024-12-23 17:21:49
16,Galaxy Tab A9+ 8 GB,Samsung Galaxy Tab A9+ 8 GB,TY-916663,1,INV-16,6999.0,1259.82,4.5,283,DISC-16,2024-12-23 17:21:49,2024-12-23 17:21:49
17,Busıness Swift Xt,IZOLY Busıness Swift Xt,TY-165204,1,INV-17,6499.0,1169.82,4.7,39,DISC-17,2024-12-23 17:21:49,2024-12-23 17:21:49
18,İpad Air 6.nesil M2,Apple İpad Air 6.nesil M2,TY-737839,1,INV-18,24490.0,4408.2,4.8,64,,2024-12-23 17:21:49,2024-12-23 17:21:49
19,Redmi Pad Se 8/256 Gb,Xiaomi Redmi Pad Se 8/256 Gb,TY-633581,1,INV-19,7299.0,1313.82,4.8,630,,2024-12-23 17:21:49,2024-12-23 17:21:49
20,N12x I5-3470 16gb 256gb,IZOLY N12x I5-3470 16gb 256gb,TY-920631,1,INV-20,11999.0,2159.8199999999997,4.4,228,,2024-12-23 17:21:49,2024-12-23 17:21:49
21,Tab M8 TB-8505F,LENOVO Tab M8 TB-8505F,TY-514158,1,INV-21,2176.0,391.68,3.7,87,,2024-12-23 17:21:49,2024-12-23 17:21:49
22,IdeaPad 1 Intel Core,LENOVO IdeaPad 1 Intel Core,TY-465585,1,INV-22,9499.0,1709.82,5.0,1,,2024-12-23 17:21:49,2024-12-23 17:21:49
23,NightCity i7 12700F,IZOLY NightCity i7 12700F,TY-990640,1,INV-23,37999.0,6839.82,5.0,2,DISC-23,2024-12-23 17:21:49,2024-12-23 17:21:49
24,Ideapad 3 İntel Core,LENOVO Ideapad 3 İntel Core,TY-774339,1,INV-24,13699.0,2465.8199999999997,4.6,79,DISC-24,2024-12-23 17:21:49,2024-12-23 17:21:49
25,Tab M9 MediaTek Helio,LENOVO Tab M9 MediaTek Helio,TY-093225,1,INV-25,3572.0,642.9599999999999,4.7,1184,DISC-25,2024-12-23 17:21:49,2024-12-23 17:21:49
26,IdeaPad3 Intel Core,LENOVO IdeaPad3 Intel Core,TY-024584,1,INV-26,9499.0,1709.82,3.7,11,,2024-12-23 17:21:49,2024-12-23 17:21:49
27,iPad 9. Nesil 64 GB,Apple iPad 9. Nesil 64 GB,TY-531086,1,INV-27,10699.0,1925.82,4.8,2536,,2024-12-23 17:21:49,2024-12-23 17:21:49
28,Pad X9 4gb 128gb Wifi,Honor Pad X9 4gb 128gb Wifi,TY-810321,1,INV-28,4999.0,899.8199999999999,4.7,1043,,2024-12-23 17:21:49,2024-12-23 17:21:49
29,Pad 9 8GB 256GB Wifi,Honor Pad 9 8GB 256GB Wifi,TY-701894,1,INV-29,10799.0,1943.82,4.7,278,DISC-29,2024-12-23 17:21:49,2024-12-23 17:21:49
30,15-inch MacBook Air:,Apple 15-inch MacBook Air:,TY-429409,1,INV-30,38999.0,7019.82,4.8,74,,2024-12-23 17:21:49,2024-12-23 17:21:49
31,Galaxy Tab A9 64 GB,Samsung Galaxy Tab A9 64 GB,TY-387062,1,INV-31,3990.0,718.1999999999999,4.6,1626,,2024-12-23 17:21:49,2024-12-23 17:21:49
32,"Tab M11 8GB 128GB 11""","LENOVO Tab M11 8GB 128GB 11""",TY-552885,1,INV-32,7938.0,1428.84,4.6,28,DISC-32,2024-12-23 17:21:49,2024-12-23 17:21:49
33,iPad 9. Nesil 64 GB,Apple iPad 9. Nesil 64 GB,TY-249852,1,INV-33,10899.0,1961.82,4.8,3749,,2024-12-23 17:21:49,2024-12-23 17:21:49
34,iPad 10. Nesil 64 GB,Apple iPad 10. Nesil 64 GB,TY-833215,1,INV-34,14499.0,2609.8199999999997,4.5,90,,2024-12-23 17:21:49,2024-12-23 17:21:49
35,Macbook Air M2 16gb,Apple Macbook Air M2 16gb,TY-465835,1,INV-35,40399.0,7271.82,4.9,7,DISC-35,2024-12-23 17:21:49,2024-12-23 17:21:49
36,Galaxy Tab S9 Fe Wıfı,Samsung Galaxy Tab S9 Fe Wıfı,TY-651358,1,INV-36,13299.0,2393.8199999999997,4.4,60,DISC-36,2024-12-23 17:21:49,2024-12-23 17:21:49
37,iPad 10. Nesil 64 GB,Apple iPad 10. Nesil 64 GB,TY-962858,1,INV-37,14999.0,2699.8199999999997,4.6,162,,2024-12-23 17:21:49,2024-12-23 17:21:49
38,"Macbook Pro M3 14"" Uzay","Apple Macbook Pro M3 14"" Uzay",TY-568804,1,INV-38,54999.0,9899.82,4.9,20,DISC-38,2024-12-23 17:21:49,2024-12-23 17:21:49
39,SXPro 10.1 Inc 4 GB,Vorcom SXPro 10.1 Inc 4 GB,TY-415369,1,INV-39,2965.0,533.6999999999999,4.3,1982,,2024-12-23 17:21:49,2024-12-23 17:21:49
40,Galaxy Tab A9+ 8 GB,Samsung Galaxy Tab A9+ 8 GB,TY-705399,1,INV-40,6999.0,1259.82,4.5,283,,2024-12-23 17:21:49,2024-12-23 17:21:49
41,Busıness Swift Xt,IZOLY Busıness Swift Xt,TY-456620,1,INV-41,6499.0,1169.82,4.7,39,DISC-41,2024-12-23 17:21:49,2024-12-23 17:21:49
42,İpad Air 6.nesil M2,Apple İpad Air 6.nesil M2,TY-695138,1,INV-42,24490.0,4408.2,4.8,64,DISC-42,2024-12-23 17:21:49,2024-12-23 17:21:49
43,Redmi Pad Se 8/256 Gb,Xiaomi Redmi Pad Se 8/256 Gb,TY-157361,1,INV-43,7299.0,1313.82,4.8,630,,2024-12-23 17:21:49,2024-12-23 17:21:49
44,N12x I5-3470 16gb 256gb,IZOLY N12x I5-3470 16gb 256gb,TY-864203,1,INV-44,11999.0,2159.8199999999997,4.4,228,,2024-12-23 17:21:49,2024-12-23 17:21:49
45,Tab M8 TB-8505F,LENOVO Tab M8 TB-8505F,TY-270514,1,INV-45,2176.0,391.68,3.7,87,,2024-12-23 17:21:49,2024-12-23 17:21:49
46,IdeaPad 1 Intel Core,LENOVO IdeaPad 1 Intel Core,TY-644689,1,INV-46,9499.0,1709.82,5.0,1,DISC-46,2024-12-23 17:21:49,2024-12-23 17:21:49
47,NightCity i7 12700F,IZOLY NightCity i7 12700F,TY-388571,1,INV-47,37999.0,6839.82,5.0,2,,2024-12-23 17:21:49,2024-12-23 17:21:49
48,Ideapad 3 İntel Core,LENOVO Ideapad 3 İntel Core,TY-515497,1,INV-48,13699.0,2465.8199999999997,4.6,79,DISC-48,2024-12-23 17:21:49,2024-12-23 17:21:49
49,Tab M9 MediaTek Helio,LENOVO Tab M9 MediaTek Helio,TY-020579,1,INV-49,3572.0,642.9599999999999,4.7,1184,DISC-49,2024-12-23 17:21:49,2024-12-23 17:21:49
50,IdeaPad3 Intel Core,LENOVO IdeaPad3 Intel Core,TY-019992,1,INV-50,9499.0,1709.82,3.7,11,,2024-12-23 17:21:49,2024-12-23 17:21:49
51,iPad 9. Nesil 64 GB,Apple iPad 9. Nesil 64 GB,TY-228002,1,INV-51,10699.0,1925.82,4.8,2536,DISC-51,2024-12-23 17:21:49,2024-12-23 17:21:49
52,Pad X9 4gb 128gb Wifi,Honor Pad X9 4gb 128gb Wifi,TY-003467,1,INV-52,4999.0,899.8199999999999,4.7,1043,,2024-12-23 17:21:49,2024-12-23 17:21:49
53,Pad 9 8GB 256GB Wifi,Honor Pad 9 8GB 256GB Wifi,TY-481936,1,INV-53,10799.0,1943.82,4.7,278,,2024-12-23 17:21:49,2024-12-23 17:21:49
54,15-inch MacBook Air:,Apple 15-inch MacBook Air:,TY-757424,1,INV-54,38999.0,7019.82,4.8,74,,2024-12-23 17:21:49,2024-12-23 17:21:49
55,Galaxy Tab A9 64 GB,Samsung Galaxy Tab A9 64 GB,TY-336194,1,INV-55,3990.0,718.1999999999999,4.6,1626,,2024-12-23 17:21:49,2024-12-23 17:21:49
56,"Tab M11 8GB 128GB 11""","LENOVO Tab M11 8GB 128GB 11""",TY-576527,1,INV-56,7938.0,1428.84,4.6,28,DISC-56,2024-12-23 17:21:49,2024-12-23 17:21:49
57,iPad 9. Nesil 64 GB,Apple iPad 9. Nesil 64 GB,TY-439494,1,INV-57,10899.0,1961.82,4.8,3749,,2024-12-23 17:21:49,2024-12-23 17:21:49
58,iPad 10. Nesil 64 GB,Apple iPad 10. Nesil 64 GB,TY-391780,1,INV-58,14499.0,2609.8199999999997,4.5,90,,2024-12-23 17:21:49,2024-12-23 17:21:49
59,Macbook Air M2 16gb,Apple Macbook Air M2 16gb,TY-846942,1,INV-59,40399.0,7271.82,4.9,7,,2024-12-23 17:21:49,2024-12-23 17:21:49
60,Galaxy Tab S9 Fe Wıfı,Samsung Galaxy Tab S9 Fe Wıfı,TY-684575,1,INV-60,13299.0,2393.8199999999997,4.4,60,DISC-60,2024-12-23 17:21:49,2024-12-23 17:21:49
61,iPad 10. Nesil 64 GB,Apple iPad 10. Nesil 64 GB,TY-003556,1,INV-61,14999.0,2699.8199999999997,4.6,162,,2024-12-23 17:21:49,2024-12-23 17:21:49
62,"Macbook Pro M3 14"" Uzay","Apple Macbook Pro M3 14"" Uzay",TY-803238,1,INV-62,54999.0,9899.82,4.9,20,,2024-12-23 17:21:49,2024-12-23 17:21:49
63,SXPro 10.1 Inc 4 GB,Vorcom SXPro 10.1 Inc 4 GB,TY-990349,1,INV-63,2965.0,533.6999999999999,4.3,1982,,2024-12-23 17:21:49,2024-12-23 17:21:49
64,Galaxy Tab A9+ 8 GB,Samsung Galaxy Tab A9+ 8 GB,TY-279787,1,INV-64,6999.0,1259.82,4.5,283,,2024-12-23 17:21:49,2024-12-23 17:21:49
65,Busıness Swift Xt,IZOLY Busıness Swift Xt,TY-243824,1,INV-65,6499.0,1169.82,4.7,39,DISC-65,2024-12-23 17:21:49,2024-12-23 17:21:49
66,İpad Air 6.nesil M2,Apple İpad Air 6.nesil M2,TY-918706,1,INV-66,24490.0,4408.2,4.8,64,DISC-66,2024-12-23 17:21:49,2024-12-23 17:21:49
