cart_item_id,session_id,product_id,quantity,created_at,modified_at
1,1,890,3,2022-11-24 17:36:12,2022-11-24 17:55:12
2,1,11,1,2022-11-24 17:36:10,2022-11-24 17:37:10
3,2,485,1,2023-07-21 22:37:48,2023-07-21 22:58:48
4,3,34,3,2023-01-31 11:33:33,2023-01-31 11:38:33
5,4,349,1,2023-10-18 00:19:13,2023-10-18 00:28:13
6,5,582,1,2023-10-17 15:25:59,2023-10-17 15:31:59
7,5,769,2,2023-10-17 15:15:32,2023-10-17 15:18:32
8,5,93,5,2023-10-17 15:45:42,2023-10-17 15:47:42
9,5,857,5,2023-10-17 15:13:57,2023-10-17 15:29:57
10,5,848,4,2023-10-17 15:44:28,2023-10-17 15:57:28
11,5,395,3,2023-10-17 15:27:12,2023-10-17 15:36:12
12,6,945,3,2022-07-19 11:47:51,2022-07-19 12:05:51
13,6,626,5,2022-07-19 12:18:17,2022-07-19 12:38:17
14,7,485,5,2023-11-15 03:16:58,2023-11-15 03:40:58
15,7,424,1,2023-11-15 03:13:24,2023-11-15 03:17:24
16,8,579,1,2023-06-20 12:06:31,2023-06-20 12:14:31
17,8,683,2,2023-06-20 12:12:31,2023-06-20 12:22:31
18,8,378,1,2023-06-20 12:19:44,2023-06-20 12:22:44
19,9,998,5,2022-12-19 20:33:18,2022-12-19 20:52:18
20,9,978,4,2022-12-19 20:37:13,2022-12-19 20:39:13
21,9,467,1,2022-12-19 20:35:13,2022-12-19 21:05:13
22,10,117,5,2023-03-19 10:17:23,2023-03-19 10:39:23
23,10,112,1,2023-03-19 10:14:55,2023-03-19 10:41:55
24,10,891,2,2023-03-19 10:16:01,2023-03-19 10:21:01
25,11,157,4,2022-10-17 04:15:36,2022-10-17 04:34:36
26,11,908,1,2022-10-17 03:50:36,2022-10-17 04:14:36
27,11,568,1,2022-10-17 04:16:08,2022-10-17 04:33:08
28,12,981,2,2023-11-12 16:22:24,2023-11-12 16:51:24
29,13,384,2,2022-11-14 12:57:42,2022-11-14 13:17:42
30,14,121,2,2023-10-26 09:25:31,2023-10-26 09:37:31
31,14,232,1,2023-10-26 09:29:47,2023-10-26 09:53:47
32,14,818,2,2023-10-26 09:18:14,2023-10-26 09:24:14
33,15,796,3,2022-09-28 04:44:00,2022-09-28 04:58:00
34,15,123,4,2022-09-28 04:30:03,2022-09-28 04:39:03
35,15,173,3,2022-09-28 04:55:00,2022-09-28 05:02:00
