order_id,customer_id,total,tax,order_status,payment_id,created_at,modified_at
1,244,21201.84,3816.33,Cancelled,1,2023-10-18 06:28:19,2023-10-18 17:06:19
2,388,42050.2,7569.04,Cancelled,2,2023-06-27 12:54:45,2023-06-28 09:25:45
3,798,45417.42,8175.14,Pending,3,2022-07-02 07:44:27,2022-07-02 14:43:27
4,586,28519.9,5133.58,Cancelled,4,2023-09-17 00:22:58,2023-09-17 16:51:58
5,855,10373.01,1867.14,Delivered,5,2022-03-16 12:56:50,2022-03-17 08:44:50
6,472,29204.1,5256.74,Shipped,6,2023-05-15 02:36:00,2023-05-15 11:29:00
7,802,7745.57,1394.2,Cancelled,7,2023-03-05 20:11:41,2023-03-06 04:00:41
8,291,33350.51,6003.09,Cancelled,8,2023-08-30 04:15:06,2023-08-30 07:23:06
9,914,41500.02,7470.0,Shipped,9,2022-04-09 22:51:06,2022-04-10 00:27:06
10,363,47428.01,8537.04,Shipped,10,2022-03-29 03:22:12,2022-03-30 02:01:12
11,516,48879.94,8798.39,Pending,11,2023-03-28 02:38:31,2023-03-28 14:15:31
12,703,11239.49,2023.11,Delivered,12,2022-01-17 08:36:57,2022-01-18 00:58:57
13,820,6921.42,1245.86,Shipped,13,2022-02-07 07:44:55,2022-02-08 00:06:55
14,969,32026.68,5764.8,Pending,14,2022-05-30 17:49:08,2022-05-31 15:30:08
15,759,3414.83,614.67,Cancelled,15,2023-06-29 18:39:23,2023-06-30 11:17:23
16,438,32729.86,5891.37,Cancelled,16,2022-01-17 02:08:27,2022-01-18 01:09:27
17,854,36889.55,6640.12,Shipped,17,2023-06-25 17:53:37,2023-06-26 05:47:37
18,294,17213.7,3098.47,Shipped,18,2023-06-22 13:07:13,2023-06-22 17:01:13
19,335,32852.78,5913.5,Shipped,19,2023-11-29 04:19:46,2023-11-29 05:00:46
20,303,449.06,80.83,Pending,20,2023-11-23 16:04:01,2023-11-24 05:22:01
21,254,47426.71,8536.81,Pending,21,2022-01-02 08:43:40,2022-01-02 17:34:40
22,451,44327.3,7978.91,Delivered,22,2022-09-06 19:33:19,2022-09-07 14:26:19
23,591,31875.5,5737.59,Delivered,23,2023-05-06 21:49:42,2023-05-07 00:37:42
24,346,35132.74,6323.89,Pending,24,2022-06-15 14:48:32,2022-06-15 23:38:32
25,404,8864.8,1595.66,Delivered,25,2022-10-28 03:09:22,2022-10-29 03:00:22
26,409,26779.92,4820.39,Cancelled,26,2023-05-14 18:53:06,2023-05-15 11:21:06
