order_item_id,order_id,product_id,quantity,created_at,modified_at
1,1,753,2,2023-10-18 06:28:19,2023-10-18 17:06:19
2,1,557,6,2023-10-18 06:28:19,2023-10-18 17:06:19
3,1,380,9,2023-10-18 06:28:19,2023-10-18 17:06:19
4,1,20,4,2023-10-18 06:28:19,2023-10-18 17:06:19
5,2,631,4,2023-06-27 12:54:45,2023-06-28 09:25:45
6,2,398,4,2023-06-27 12:54:45,2023-06-28 09:25:45
7,2,293,5,2023-06-27 12:54:45,2023-06-28 09:25:45
8,3,207,10,2022-07-02 07:44:27,2022-07-02 14:43:27
9,3,176,5,2022-07-02 07:44:27,2022-07-02 14:43:27
10,3,715,10,2022-07-02 07:44:27,2022-07-02 14:43:27
11,4,8,2,2023-09-17 00:22:58,2023-09-17 16:51:58
12,4,671,6,2023-09-17 00:22:58,2023-09-17 16:51:58
13,4,496,6,2023-09-17 00:22:58,2023-09-17 16:51:58
14,4,661,5,2023-09-17 00:22:58,2023-09-17 16:51:58
15,4,202,5,2023-09-17 00:22:58,2023-09-17 16:51:58
16,5,210,4,2022-03-16 12:56:50,2022-03-17 08:44:50
17,5,782,9,2022-03-16 12:56:50,2022-03-17 08:44:50
18,5,604,6,2022-03-16 12:56:50,2022-03-17 08:44:50
19,6,274,3,2023-05-15 02:36:00,2023-05-15 11:29:00
20,7,676,5,2023-03-05 20:11:41,2023-03-06 04:00:41
21,8,949,3,2023-08-30 04:15:06,2023-08-30 07:23:06
22,8,163,4,2023-08-30 04:15:06,2023-08-30 07:23:06
23,8,84,1,2023-08-30 04:15:06,2023-08-30 07:23:06
24,9,327,4,2022-04-09 22:51:06,2022-04-10 00:27:06
25,9,921,3,2022-04-09 22:51:06,2022-04-10 00:27:06
26,10,898,7,2022-03-29 03:22:12,2022-03-30 02:01:12
27,10,88,10,2022-03-29 03:22:12,2022-03-30 02:01:12
28,10,37,3,2022-03-29 03:22:12,2022-03-30 02:01:12
29,11,922,4,2023-03-28 02:38:31,2023-03-28 14:15:31
30,11,671,8,2023-03-28 02:38:31,2023-03-28 14:15:31
31,11,834,9,2023-03-28 02:38:31,2023-03-28 14:15:31
32,11,486,7,2023-03-28 02:38:31,2023-03-28 14:15:31
33,12,104,6,2022-01-17 08:36:57,2022-01-18 00:58:57
34,12,257,5,2022-01-17 08:36:57,2022-01-18 00:58:57
35,12,111,9,2022-01-17 08:36:57,2022-01-18 00:58:57
36,12,190,5,2022-01-17 08:36:57,2022-01-18 00:58:57
37,13,565,3,2022-02-07 07:44:55,2022-02-08 00:06:55
38,13,169,10,2022-02-07 07:44:55,2022-02-08 00:06:55
39,13,87,10,2022-02-07 07:44:55,2022-02-08 00:06:55
40,13,417,4,2022-02-07 07:44:55,2022-02-08 00:06:55
41,13,534,2,2022-02-07 07:44:55,2022-02-08 00:06:55
42,14,319,10,2022-05-30 17:49:08,2022-05-31 15:30:08
43,14,585,10,2022-05-30 17:49:08,2022-05-31 15:30:08
44,15,300,9,2023-06-29 18:39:23,2023-06-30 11:17:23
45,16,203,2,2022-01-17 02:08:27,2022-01-18 01:09:27
46,16,661,5,2022-01-17 02:08:27,2022-01-18 01:09:27
47,16,408,2,2022-01-17 02:08:27,2022-01-18 01:09:27
48,16,839,2,2022-01-17 02:08:27,2022-01-18 01:09:27
49,16,125,3,2022-01-17 02:08:27,2022-01-18 01:09:27
50,17,520,8,2023-06-25 17:53:37,2023-06-26 05:47:37
51,17,557,9,2023-06-25 17:53:37,2023-06-26 05:47:37
52,18,956,7,2023-06-22 13:07:13,2023-06-22 17:01:13
53,19,116,6,2023-11-29 04:19:46,2023-11-29 05:00:46
54,19,24,1,2023-11-29 04:19:46,2023-11-29 05:00:46
55,19,826,6,2023-11-29 04:19:46,2023-11-29 05:00:46
56,19,10,1,2023-11-29 04:19:46,2023-11-29 05:00:46
57,19,125,4,2023-11-29 04:19:46,2023-11-29 05:00:46
58,20,563,9,2023-11-23 16:04:01,2023-11-24 05:22:01
59,20,635,9,2023-11-23 16:04:01,2023-11-24 05:22:01
60,20,778,3,2023-11-23 16:04:01,2023-11-24 05:22:01
61,20,601,5,2023-11-23 16:04:01,2023-11-24 05:22:01
62,21,721,10,2022-01-02 08:43:40,2022-01-02 17:34:40
63,22,884,5,2022-09-06 19:33:19,2022-09-07 14:26:19
64,22,768,2,2022-09-06 19:33:19,2022-09-07 14:26:19
65,22,172,3,2022-09-06 19:33:19,2022-09-07 14:26:19
66,22,893,9,2022-09-06 19:33:19,2022-09-07 14:26:19
67,22,74,8,2022-09-06 19:33:19,2022-09-07 14:26:19
68,23,964,5,2023-05-06 21:49:42,2023-05-07 00:37:42
69,24,70,10,2022-06-15 14:48:32,2022-06-15 23:38:32
70,24,833,10,2022-06-15 14:48:32,2022-06-15 23:38:32
71,24,94,4,2022-06-15 14:48:32,2022-06-15 23:38:32
72,25,796,6,2022-10-28 03:09:22,2022-10-29 03:00:22
73,25,558,5,2022-10-28 03:09:22,2022-10-29 03:00:22
74,25,575,5,2022-10-28 03:09:22,2022-10-29 03:00:22
75,25,252,5,2022-10-28 03:09:22,2022-10-29 03:00:22
76,25,667,7,2022-10-28 03:09:22,2022-10-29 03:00:22
77,26,976,8,2023-05-14 18:53:06,2023-05-15 11:21:06
78,26,733,7,2023-05-14 18:53:06,2023-05-15 11:21:06
79,27,984,6,2022-12-27 22:09:26,2022-12-28 03:20:26
80,27,476,3,2022-12-27 22:09:26,2022-12-28 03:20:26
81,27,227,6,2022-12-27 22:09:26,2022-12-28 03:20:26
82,27,542,5,2022-12-27 22:09:26,2022-12-28 03:20:26
83,27,193,9,2022-12-27 22:09:26,2022-12-28 03:20:26
84,28,747,9,2022-04-17 17:36:38,2022-04-18 00:27:38
85,28,415,8,2022-04-17 17:36:38,2022-04-18 00:27:38
86,28,660,6,2022-04-17 17:36:38,2022-04-18 00:27:38
87,29,835,6,2023-12-04 19:33:50,2023-12-05 04:29:50
88,29,581,5,2023-12-04 19:33:50,2023-12-05 04:29:50
89,29,719,2,2023-12-04 19:33:50,2023-12-05 04:29:50
90,29,560,4,2023-12-04 19:33:50,2023-12-05 04:29:50
91,30,586,1,2023-12-22 22:16:08,2023-12-23 11:17:08
92,30,209,7,2023-12-22 22:16:08,2023-12-23 11:17:08
93,31,798,8,2022-01-30 03:45:17,2022-01-30 11:41:17
94,32,637,8,2023-11-06 17:29:02,2023-11-06 18:05:02
95,32,515,9,2023-11-06 17:29:02,2023-11-06 18:05:02
96,32,106,8,2023-11-06 17:29:02,2023-11-06 18:05:02
97,32,333,2,2023-11-06 17:29:02,2023-11-06 18:05:02
98,33,575,3,2023-03-31 11:18:38,2023-03-31 12:42:38
99,33,411,6,2023-03-31 11:18:38,2023-03-31 12:42:38
100,34,982,3,2023-09-10 20:07:10,2023-09-11 11:32:10
101,35,17,4,2023-03-01 15:30:57,2023-03-02 05:44:57
102,35,116,3,2023-03-01 15:30:57,2023-03-02 05:44:57
103,35,646,5,2023-03-01 15:30:57,2023-03-02 05:44:57
104,35,422,1,2023-03-01 15:30:57,2023-03-02 05:44:57
105,36,621,5,2022-06-21 17:08:50,2022-06-22 12:15:50
106,36,607,1,2022-06-21 17:08:50,2022-06-22 12:15:50
107,37,709,6,2022-05-05 14:36:35,2022-05-06 10:18:35
108,37,686,7,2022-05-05 14:36:35,2022-05-06 10:18:35
109,37,762,8,2022-05-05 14:36:35,2022-05-06 10:18:35
110,37,748,7,2022-05-05 14:36:35,2022-05-06 10:18:35
111,37,930,7,2022-05-05 14:36:35,2022-05-06 10:18:35
112,38,133,6,2022-04-16 06:48:43,2022-04-17 04:59:43
113,38,795,8,2022-04-16 06:48:43,2022-04-17 04:59:43
114,39,324,5,2022-11-15 19:59:52,2022-11-15 23:36:52
115,39,53,2,2022-11-15 19:59:52,2022-11-15 23:36:52
116,40,233,4,2022-05-05 14:32:04,2022-05-05 23:13:04
117,41,936,6,2023-09-10 20:21:41,2023-09-11 12:17:41
118,41,223,7,2023-09-10 20:21:41,2023-09-11 12:17:41
119,41,84,4,2023-09-10 20:21:41,2023-09-11 12:17:41
120,41,13,8,2023-09-10 20:21:41,2023-09-11 12:17:41
121,42,24,7,2022-05-08 05:39:01,2022-05-08 20:36:01
122,42,660,7,2022-05-08 05:39:01,2022-05-08 20:36:01
123,42,794,4,2022-05-08 05:39:01,2022-05-08 20:36:01
124,43,209,5,2023-01-27 16:05:15,2023-01-28 01:59:15
