payment_id,order_id,amount,tax,provider,status,created_at,modified_at
1,1,21201.84,3816.33,TROY,Pending,2023-10-18 06:28:19,2023-10-18 17:06:19
2,2,42050.2,7569.04,MASTERCARD,Pending,2023-06-27 12:54:45,2023-06-28 09:25:45
3,3,45417.42,8175.14,VISA,Pending,2022-07-02 07:44:27,2022-07-02 14:43:27
4,4,28519.9,5133.58,TROY,Success,2023-09-17 00:22:58,2023-09-17 16:51:58
5,5,10373.01,1867.14,VISA,Failed,2022-03-16 12:56:50,2022-03-17 08:44:50
6,6,29204.1,5256.74,TROY,Failed,2023-05-15 02:36:00,2023-05-15 11:29:00
7,7,7745.57,1394.2,VISA,Success,2023-03-05 20:11:41,2023-03-06 04:00:41
8,8,33350.51,6003.09,VISA,Success,2023-08-30 04:15:06,2023-08-30 07:23:06
9,9,41500.02,7470.0,TROY,Success,2022-04-09 22:51:06,2022-04-10 00:27:06
10,10,47428.01,8537.04,MASTERCARD,Success,2022-03-29 03:22:12,2022-03-30 02:01:12
11,11,48879.94,8798.39,MASTERCARD,Failed,2023-03-28 02:38:31,2023-03-28 14:15:31
12,12,11239.49,2023.11,MASTERCARD,Pending,2022-01-17 08:36:57,2022-01-18 00:58:57
13,13,6921.42,1245.86,TROY,Pending,2022-02-07 07:44:55,2022-02-08 00:06:55
14,14,32026.68,5764.8,TROY,Success,2022-05-30 17:49:08,2022-05-31 15:30:08
15,15,3414.83,614.67,TROY,Failed,2023-06-29 18:39:23,2023-06-30 11:17:23
16,16,32729.86,5891.37,TROY,Success,2022-01-17 02:08:27,2022-01-18 01:09:27
17,17,36889.55,6640.12,MASTERCARD,Pending,2023-06-25 17:53:37,2023-06-26 05:47:37
18,18,17213.7,3098.47,MASTERCARD,Failed,2023-06-22 13:07:13,2023-06-22 17:01:13
19,19,32852.78,5913.5,MASTERCARD,Failed,2023-11-29 04:19:46,2023-11-29 05:00:46
20,20,449.06,80.83,MASTERCARD,Failed,2023-11-23 16:04:01,2023-11-24 05:22:01
21,21,47426.71,8536.81,TROY,Success,2022-01-02 08:43:40,2022-01-02 17:34:40
22,22,44327.3,7978.91,TROY,Failed,2022-09-06 19:33:19,2022-09-07 14:26:19
23,23,31875.5,5737.59,TROY,Success,2023-05-06 21:49:42,2023-05-07 00:37:42
24,24,35132.74,6323.89,VISA,Success,2022-06-15 14:48:32,2022-06-15 23:38:32
25,25,8864.8,1595.66,VISA,Failed,2022-10-28 03:09:22,2022-10-29 03:00:22
26,26,26779.92,4820.39,TROY,Failed,2023-05-14 18:53:06,2023-05-15 11:21:06
27,27,2065.23,371.74,MASTERCARD,Success,2022-12-27 22:09:26,2022-12-28 03:20:26
28,28,25643.65,4615.86,TROY,Pending,2022-04-17 17:36:38,2022-04-18 00:27:38
29,29,40153.91,7227.7,VISA,Pending,2023-12-04 19:33:50,2023-12-05 04:29:50
30,30,30388.52,5469.93,TROY,Success,2023-12-22 22:16:08,2023-12-23 11:17:08
31,31,22080.66,3974.52,TROY,Pending,2022-01-30 03:45:17,2022-01-30 11:41:17
32,32,17646.79,3176.42,TROY,Pending,2023-11-06 17:29:02,2023-11-06 18:05:02
33,33,3641.23,655.42,MASTERCARD,Pending,2023-03-31 11:18:38,2023-03-31 12:42:38
34,34,35098.34,6317.7,TROY,Failed,2023-09-10 20:07:10,2023-09-11 11:32:10
35,35,49663.5,8939.43,VISA,Pending,2023-03-01 15:30:57,2023-03-02 05:44:57
36,36,30227.81,5441.01,MASTERCARD,Success,2022-06-21 17:08:50,2022-06-22 12:15:50
37,37,17432.88,3137.92,TROY,Success,2022-05-05 14:36:35,2022-05-06 10:18:35
38,38,25716.8,4629.02,VISA,Success,2022-04-16 06:48:43,2022-04-17 04:59:43
39,39,342.81,61.71,MASTERCARD,Failed,2022-11-15 19:59:52,2022-11-15 23:36:52
40,40,3600.37,648.07,VISA,Pending,2022-05-05 14:32:04,2022-05-05 23:13:04
41,41,4655.76,838.04,MASTERCARD,Pending,2023-09-10 20:21:41,2023-09-11 12:17:41
42,42,45722.67,8230.08,VISA,Success,2022-05-08 05:39:01,2022-05-08 20:36:01
43,43,44118.72,7941.37,TROY,Pending,2023-01-27 16:05:15,2023-01-28 01:59:15
44,44,17668.17,3180.27,VISA,Pending,2023-09-14 10:40:24,2023-09-15 00:50:24
45,45,33963.7,6113.47,VISA,Failed,2023-07-10 08:14:19,2023-07-11 05:01:19
46,46,33043.69,5947.86,MASTERCARD,Pending,2022-04-05 20:28:19,2022-04-06 10:23:19
47,47,19323.7,3478.27,VISA,Failed,2023-12-28 21:23:36,2023-12-29 19:11:36
48,48,9707.39,1747.33,TROY,Failed,2023-03-17 12:14:36,2023-03-17 16:57:36
49,49,30226.71,5440.81,TROY,Failed,2022-02-24 15:37:34,2022-02-24 21:27:34
50,50,25767.62,4638.17,TROY,Pending,2022-08-27 02:20:58,2022-08-27 13:46:58
