product_id,product_name,product_description,sku,category_id,inventory_id,price,tax,rating,review_count,discount_id,created_at,modified_at
1,IdeaPad3 Intel Core,LENOVO IdeaPad3 Intel Core,TY-632915,1,1,9499,1709.82,3.7,11,1,24/12/2024 02:36,24/12/2024 02:36
2,Tab M9 MediaTek Helio,LENOVO Tab M9 MediaTek Helio,TY-324163,1,2,3572,642.96,4.7,1192,5,24/12/2024 02:36,24/12/2024 02:36
3,iPad 9. Nesil 64 GB,Apple iPad 9. Nesil 64 GB,TY-789034,1,3,10699,1925.82,4.8,2538,3,24/12/2024 02:36,24/12/2024 02:36
4,Pad X9 4gb 128gb Wifi,Honor Pad X9 4gb 128gb Wifi,TY-378624,1,4,4999,899.82,4.7,1045,1,24/12/2024 02:36,24/12/2024 02:36
5,Pad 9 8GB 256GB Wifi,Honor Pad 9 8GB 256GB Wifi,TY-929045,1,5,10799,1943.82,4.7,281,1,24/12/2024 02:36,24/12/2024 02:36
6,15-inch MacBook Air:,Apple 15-inch MacBook Air:,TY-806233,1,6,38999,7019.82,4.8,74,1,24/12/2024 02:36,24/12/2024 02:36
7,IdeaPad 1 Intel Core,LENOVO IdeaPad 1 Intel Core,TY-567323,1,7,9499,1709.82,5,1,1,24/12/2024 02:36,24/12/2024 02:36
8,"Tab M11 8GB 128GB 11""","LENOVO Tab M11 8GB 128GB 11""",TY-271736,1,8,7938,1428.84,4.6,28,4,24/12/2024 02:36,24/12/2024 02:36
9,iPad 9. Nesil 64 GB,Apple iPad 9. Nesil 64 GB,TY-721929,1,9,10749,1934.82,4.8,3751,3,24/12/2024 02:36,24/12/2024 02:36
10,iPad 10. Nesil 64 GB,Apple iPad 10. Nesil 64 GB,TY-467541,1,10,14499,2609.82,4.5,94,5,24/12/2024 02:36,24/12/2024 02:36
11,Macbook Air M1 Çip 8gb,Apple Macbook Air M1 Çip 8gb,TY-579169,1,11,30399,5471.82,4.6,2398,1,24/12/2024 02:36,24/12/2024 02:36
12,Yoga 6 Amd Ryzen 7,LENOVO Yoga 6 Amd Ryzen 7,TY-182808,1,12,38459,6922.62,5,1,5,24/12/2024 02:36,24/12/2024 02:36
13,Galaxy Tab A9 64 GB,Samsung Galaxy Tab A9 64 GB,TY-639779,1,13,3989,718.02,4.6,1626,3,24/12/2024 02:36,24/12/2024 02:36
14,"Macbook Pro M3 14"" Uzay","Apple Macbook Pro M3 14"" Uzay",TY-640312,1,14,79999,14399.82,4.6,7,4,24/12/2024 02:36,24/12/2024 02:36
15,iPad 10. Nesil 64 GB,Apple iPad 10. Nesil 64 GB,TY-040491,1,15,15199,2735.82,4.6,162,3,24/12/2024 02:36,24/12/2024 02:36
16,Galaxy Tab A9+ 8 GB,Samsung Galaxy Tab A9+ 8 GB,TY-278185,1,16,6999,1259.82,4.5,284,5,24/12/2024 02:36,24/12/2024 02:36
17,M3 Plus Intel İ9,GMKtec M3 Plus Intel İ9,TY-409344,1,17,24828.59,4469.15,0,0,3,24/12/2024 02:36,24/12/2024 02:36
18,iPad 10. Nesil 64 GB,Apple iPad 10. Nesil 64 GB,TY-297548,1,18,15199,2735.82,4.6,35,1,24/12/2024 02:36,24/12/2024 02:36
19,IdeaPad3 Intel Core,LENOVO IdeaPad3 Intel Core,TY-519063,1,19,15499,2789.82,4.4,514,2,24/12/2024 02:36,24/12/2024 02:36
20,"Macbook Pro M3 14"" Uzay","Apple Macbook Pro M3 14"" Uzay",TY-093918,1,20,54999,9899.82,4.9,20,4,24/12/2024 02:36,24/12/2024 02:36
21,SXPro 10.1 Inc 4 GB,Vorcom SXPro 10.1 Inc 4 GB,TY-750579,1,21,2965,533.7,4.3,1982,2,24/12/2024 02:36,24/12/2024 02:36
22,Excalibur,CASPER Excalibur,TY-288526,1,22,37499,6749.82,4.5,271,5,24/12/2024 02:36,24/12/2024 02:36
23,Mini IT12 - Intel,GEEKOM Mini IT12 - Intel,TY-749415,1,23,25379,4568.22,0,0,3,24/12/2024 02:36,24/12/2024 02:36
24,IdeaPad3 Intel Core,LENOVO IdeaPad3 Intel Core,TY-407233,1,24,10499,1889.82,3.7,7,3,24/12/2024 02:36,24/12/2024 02:36
25,IdeaPad3 Intel Core,LENOVO IdeaPad3 Intel Core,TY-433706,1,25,9499,1709.82,3.7,11,3,24/12/2024 02:36,24/12/2024 02:36
26,Tab M9 MediaTek Helio,LENOVO Tab M9 MediaTek Helio,TY-803782,1,26,3572,642.96,4.7,1192,4,24/12/2024 02:36,24/12/2024 02:36
27,iPad 9. Nesil 64 GB,Apple iPad 9. Nesil 64 GB,TY-383812,1,27,10699,1925.82,4.8,2538,5,24/12/2024 02:36,24/12/2024 02:36
28,Pad X9 4gb 128gb Wifi,Honor Pad X9 4gb 128gb Wifi,TY-796135,1,28,4999,899.82,4.7,1045,5,24/12/2024 02:36,24/12/2024 02:36
29,Pad 9 8GB 256GB Wifi,Honor Pad 9 8GB 256GB Wifi,TY-604163,1,29,10799,1943.82,4.7,281,2,24/12/2024 02:36,24/12/2024 02:36
