session_id,customer_id,total,created_at,modified_at
1,784,220.23,2022-11-24 17:19:40,2022-11-24 17:53:40
2,13,132.12,2023-07-21 22:35:43,2023-07-21 22:52:43
3,36,1475.16,2023-01-31 11:15:30,2023-01-31 12:36:30
4,420,1648.3,2023-10-18 00:18:29,2023-10-18 00:29:29
5,862,22095.04,2023-10-17 15:11:15,2023-10-17 16:36:15
6,978,9420.88,2022-07-19 11:38:33,2022-07-19 13:11:33
7,293,553.49,2023-11-15 03:03:56,2023-11-15 04:08:56
8,991,14330.56,2023-06-20 12:05:58,2023-06-20 12:33:58
9,175,9417.35,2022-12-19 20:26:56,2022-12-19 20:54:56
10,859,2616.42,2023-03-19 10:14:26,2023-03-19 10:31:26
11,196,1376.58,2022-10-17 03:33:50,2022-10-17 05:00:50
12,518,175.68,2023-11-12 15:55:05,2023-11-12 17:04:05
13,839,179.84,2022-11-14 12:41:43,2022-11-14 13:57:43
14,1000,751.57,2023-10-26 09:15:30,2023-10-26 10:49:30
15,867,495.1,2022-09-28 04:12:34,2022-09-28 05:49:34
16,739,4656.06,2023-11-15 05:30:07,2023-11-15 06:07:07
17,274,3271.65,2022-01-11 08:42:33,2022-01-11 10:37:33
18,430,57.15,2023-06-17 17:49:27,2023-06-17 18:31:27
19,241,3556.95,2022-01-18 14:13:57,2022-01-18 14:55:57
20,97,34853.65,2023-07-01 13:14:19,2023-07-01 14:59:19
21,328,2466.39,2022-12-29 23:04:27,2022-12-29 23:29:27
22,449,3224.5,2022-10-15 22:19:16,2022-10-15 23:16:16
23,113,5603.64,2023-01-19 08:51:41,2023-01-19 09:25:41
24,843,872.05,2023-08-24 16:34:21,2023-08-24 18:14:21
25,147,8447.35,2022-11-02 12:52:13,2022-11-02 14:05:13
26,286,614.45,2023-08-24 21:02:35,2023-08-24 22:11:35
27,897,1628.46,2023-05-18 20:55:45,2023-05-18 21:46:45
28,110,1230.48,2022-09-15 21:35:05,2022-09-15 23:00:05
29,525,11747.54,2022-10-01 13:50:16,2022-10-01 14:00:16
30,684,476.16,2023-12-29 02:26:34,2023-12-29 03:23:34
31,50,19273.97,2022-05-27 16:32:36,2022-05-27 18:32:36
